,Model,time_sec,Accuracy,Precision,Recall,F1
0,12:LinearRegression TFI,40.9,0.9175,0.9180,0.9141,0.9158
1,9:SVC TFI,119.6,0.9387,0.9394,0.9360,0.9375
2,2:LogisticRegression BOW,5.9,0.9292,0.9313,0.9252,0.9277
3,8:LogisticRegression TFI,2.5,0.9245,0.9264,0.9204,0.9229
4,3:SVC BOW,113.4,0.9175,0.9153,0.9182,0.9165
5,10:AdaBoostClassifier TFI,123.6,0.9127,0.9107,0.9129,0.9117
6,11:GradientBoostingClassifier TFI,158.8,0.8939,0.8915,0.8955,0.8929
7,4:AdaBoostClassifier BOW,121.7,0.8915,0.8899,0.8899,0.8899
8,5:GradientBoostingClassifier BOW,158.0,0.8774,0.8755,0.8755,0.8755
9,6:LinearRegression BOW,47.2,0.8656,0.8724,0.8562,0.8610
10,7:GaussianNB TFI,0.7,0.7948,0.7919,0.7908,0.7913
11,1:GaussianNB BOW,0.9,0.7925,0.7918,0.7846,0.7870
